Salary,Age,Department,OverTime,StockOptionLevel,YearsAtCompany,ManagerRating
102059,30,Sales,No,1,10,3.0
102059,30,Sales,No,1,10,2.0
102059,30,Sales,No,1,10,5.0
102059,30,Sales,No,1,10,4.0
102059,30,Sales,No,1,10,3.0
102059,30,Sales,No,1,10,4.0
102059,30,Sales,No,1,10,3.0
102059,30,Sales,No,1,10,4.0
102059,30,Sales,No,1,10,4.0
157718,38,Sales,Yes,0,10,4.0
157718,38,Sales,Yes,0,10,3.0
157718,38,Sales,Yes,0,10,5.0
157718,38,Sales,Yes,0,10,3.0
157718,38,Sales,Yes,0,10,4.0
157718,38,Sales,Yes,0,10,3.0
157718,38,Sales,Yes,0,10,4.0
157718,38,Sales,Yes,0,10,4.0
157718,38,Sales,Yes,0,10,5.0
309964,43,Human Resources,No,1,10,2.0
309964,43,Human Resources,No,1,10,4.0
309964,43,Human Resources,No,1,10,2.0
309964,43,Human Resources,No,1,10,4.0
309964,43,Human Resources,No,1,10,3.0
309964,43,Human Resources,No,1,10,2.0
309964,43,Human Resources,No,1,10,3.0
309964,43,Human Resources,No,1,10,3.0
309964,43,Human Resources,No,1,10,4.0
293132,39,Technology,No,0,10,3.0
293132,39,Technology,No,0,10,3.0
293132,39,Technology,No,0,10,4.0
293132,39,Technology,No,0,10,5.0
293132,39,Technology,No,0,10,2.0
293132,39,Technology,No,0,10,4.0
293132,39,Technology,No,0,10,3.0
293132,39,Technology,No,0,10,5.0
293132,39,Technology,No,0,10,3.0
49606,29,Human Resources,No,0,6,2.0
49606,29,Human Resources,No,0,6,3.0
49606,29,Human Resources,No,0,6,3.0
49606,29,Human Resources,No,0,6,3.0
49606,29,Human Resources,No,0,6,3.0
49606,29,Human Resources,No,0,6,5.0
49606,29,Human Resources,No,0,6,4.0
49606,29,Human Resources,No,0,6,2.0
49606,29,Human Resources,No,0,6,2.0
133468,34,Sales,No,1,10,4.0
133468,34,Sales,No,1,10,4.0
133468,34,Sales,No,1,10,5.0
133468,34,Sales,No,1,10,3.0
133468,34,Sales,No,1,10,4.0
133468,34,Sales,No,1,10,4.0
133468,34,Sales,No,1,10,2.0
133468,34,Sales,No,1,10,5.0
133468,34,Sales,No,1,10,2.0
259284,42,Technology,No,1,10,4.0
259284,42,Technology,No,1,10,4.0
259284,42,Technology,No,1,10,3.0
259284,42,Technology,No,1,10,4.0
259284,42,Technology,No,1,10,5.0
259284,42,Technology,No,1,10,5.0
