EmployeeID,Attrition,Gender,Age,Department,BusinessTravel,MaritalStatus,DistanceFromHome (KM),Salary,StockOptionLevel,OverTime,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,Ethnicity,EducationLevel,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,SelfRating,ManagerRating,EnvironmentSatisfaction_Label,JobSatisfaction_Label,RelationshipSatisfaction_Label,WorkLifeBalance_Label,ManagerRating_Label,SelfRating_Label,TrainingUtilizationRate
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,3.0,3.0,2.0,4.0,3.0,0.0,3.0,3.0,Neutral,Neutral,Dissatisfied,Satisfied ,Meets Expectation,Meets Expectation,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,4.0,4.0,5.0,2.0,3.0,1.0,3.0,2.0,Satisfied ,Satisfied ,Very Satisfied,Dissatisfied,Needs Improvement,Meets Expectation,0.3333322222259259
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,5.0,5.0,4.0,4.0,3.0,0.0,5.0,5.0,Very Satisfied,Very Satisfied,Satisfied ,Satisfied ,Above and Beyond,Above and Beyond,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,1.0,3.0,2.0,3.0,3.0,1.0,5.0,4.0,Very Dissatisfied,Neutral,Dissatisfied,Neutral,Exceeds Expectation ,Above and Beyond,0.3333322222259259
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,3.0,4.0,2.0,3.0,1.0,0.0,4.0,3.0,Neutral,Satisfied ,Dissatisfied,Neutral,Meets Expectation,Exceeds Expectation ,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,3.0,2.0,5.0,3.0,1.0,0.0,5.0,4.0,Neutral,Dissatisfied,Very Satisfied,Neutral,Exceeds Expectation ,Above and Beyond,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,4.0,5.0,4.0,4.0,1.0,0.0,3.0,3.0,Satisfied ,Very Satisfied,Satisfied ,Satisfied ,Meets Expectation,Meets Expectation,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,4.0,2.0,4.0,2.0,1.0,0.0,5.0,4.0,Satisfied ,Dissatisfied,Satisfied ,Dissatisfied,Exceeds Expectation ,Above and Beyond,0.0
3012-1A41,0,Female,30,Sales,Some Travel,Divorced,27,102059,1,No,10,4,9,7,White,Doctorate,5.0,5.0,2.0,5.0,2.0,1.0,4.0,4.0,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.4999975000124999
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,3.0,3.0,2.0,5.0,2.0,0.0,4.0,4.0,Neutral,Neutral,Dissatisfied,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,3.0,5.0,5.0,2.0,2.0,0.0,4.0,3.0,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Meets Expectation,Exceeds Expectation ,0.0
