Salary,Age,StockOptionLevel,YearsAtCompany,EducationLevel,EnvironmentSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,SelfRating,ManagerRating
102059,30,1,10,5,3.0,3.0,0.0,3.0,3.0
102059,30,1,10,5,4.0,3.0,1.0,3.0,2.0
102059,30,1,10,5,5.0,3.0,0.0,5.0,5.0
102059,30,1,10,5,1.0,3.0,1.0,5.0,4.0
102059,30,1,10,5,3.0,1.0,0.0,4.0,3.0
102059,30,1,10,5,3.0,1.0,0.0,5.0,4.0
102059,30,1,10,5,4.0,1.0,0.0,3.0,3.0
102059,30,1,10,5,4.0,1.0,0.0,5.0,4.0
102059,30,1,10,5,5.0,2.0,1.0,4.0,4.0
157718,38,0,10,Masters ,3.0,2.0,0.0,4.0,4.0
157718,38,0,10,Masters ,3.0,2.0,0.0,4.0,3.0
157718,38,0,10,Masters ,5.0,2.0,0.0,5.0,5.0
157718,38,0,10,Masters ,4.0,3.0,2.0,4.0,3.0
157718,38,0,10,Masters ,5.0,3.0,2.0,4.0,4.0
157718,38,0,10,Masters ,3.0,2.0,0.0,3.0,3.0
157718,38,0,10,Masters ,5.0,2.0,1.0,4.0,4.0
157718,38,0,10,Masters ,3.0,3.0,0.0,5.0,4.0
157718,38,0,10,Masters ,4.0,3.0,2.0,5.0,5.0
309964,43,1,10,Masters ,3.0,1.0,0.0,3.0,2.0
309964,43,1,10,Masters ,4.0,2.0,2.0,4.0,4.0
309964,43,1,10,Masters ,5.0,2.0,2.0,3.0,2.0
309964,43,1,10,Masters ,5.0,1.0,0.0,4.0,4.0
309964,43,1,10,Masters ,3.0,3.0,0.0,3.0,3.0
309964,43,1,10,Masters ,4.0,3.0,0.0,3.0,2.0
309964,43,1,10,Masters ,4.0,3.0,2.0,4.0,3.0
309964,43,1,10,Masters ,4.0,3.0,0.0,4.0,3.0
309964,43,1,10,Masters ,3.0,1.0,0.0,4.0,4.0
293132,39,0,10,Bachelors ,3.0,3.0,0.0,3.0,3.0
293132,39,0,10,Bachelors ,4.0,1.0,1.0,4.0,3.0
293132,39,0,10,Bachelors ,4.0,3.0,1.0,4.0,4.0
293132,39,0,10,Bachelors ,3.0,1.0,2.0,5.0,5.0
293132,39,0,10,Bachelors ,4.0,3.0,2.0,3.0,2.0
293132,39,0,10,Bachelors ,4.0,3.0,2.0,5.0,4.0
293132,39,0,10,Bachelors ,1.0,1.0,1.0,3.0,3.0
293132,39,0,10,Bachelors ,5.0,1.0,1.0,5.0,5.0
293132,39,0,10,Bachelors ,1.0,2.0,2.0,3.0,3.0
49606,29,0,6,High School ,4.0,1.0,0.0,3.0,2.0
49606,29,0,6,High School ,5.0,2.0,1.0,4.0,3.0
49606,29,0,6,High School ,4.0,1.0,2.0,4.0,3.0
49606,29,0,6,High School ,4.0,1.0,1.0,4.0,3.0
49606,29,0,6,High School ,4.0,3.0,0.0,4.0,3.0
49606,29,0,6,High School ,4.0,2.0,3.0,5.0,5.0
49606,29,0,6,High School ,3.0,3.0,2.0,4.0,4.0
49606,29,0,6,High School ,3.0,1.0,2.0,3.0,2.0
49606,29,0,6,High School ,5.0,2.0,1.0,3.0,2.0
133468,34,1,10,High School ,4.0,3.0,1.0,4.0,4.0
133468,34,1,10,High School ,5.0,1.0,2.0,5.0,4.0
133468,34,1,10,High School ,3.0,2.0,0.0,5.0,5.0
133468,34,1,10,High School ,4.0,2.0,1.0,3.0,3.0
133468,34,1,10,High School ,5.0,2.0,2.0,4.0,4.0
133468,34,1,10,High School ,4.0,1.0,3.0,5.0,4.0
133468,34,1,10,High School ,4.0,3.0,0.0,3.0,2.0
133468,34,1,10,High School ,4.0,3.0,0.0,5.0,5.0
133468,34,1,10,High School ,4.0,1.0,3.0,3.0,2.0
259284,42,1,10,Bachelors ,3.0,2.0,1.0,5.0,4.0
259284,42,1,10,Bachelors ,4.0,3.0,2.0,4.0,4.0
259284,42,1,10,Bachelors ,4.0,3.0,2.0,4.0,3.0
259284,42,1,10,Bachelors ,5.0,3.0,0.0,4.0,4.0
259284,42,1,10,Bachelors ,3.0,1.0,1.0,5.0,5.0
259284,42,1,10,Bachelors ,4.0,3.0,0.0,5.0,5.0
259284,42,1,10,Bachelors ,4.0,2.0,0.0,5.0,4.0
259284,42,1,10,Bachelors ,3.0,3.0,3.0,5.0,4.0
259284,42,1,10,Bachelors ,3.0,3.0,2.0,4.0,4.0
104426,40,1,10,High School ,5.0,2.0,3.0,5.0,4.0
104426,40,1,10,High School ,5.0,3.0,1.0,3.0,2.0
104426,40,1,10,High School ,5.0,1.0,3.0,3.0,2.0
104426,40,1,10,High School ,3.0,3.0,2.0,3.0,3.0
104426,40,1,10,High School ,4.0,3.0,3.0,3.0,2.0
104426,40,1,10,High School ,3.0,1.0,2.0,5.0,4.0
104426,40,1,10,High School ,5.0,2.0,3.0,5.0,5.0
104426,40,1,10,High School ,4.0,2.0,0.0,4.0,4.0
104426,40,1,10,High School ,5.0,3.0,2.0,4.0,4.0
147098,38,1,10,Masters ,4.0,2.0,0.0,5.0,5.0
147098,38,1,10,Masters ,3.0,3.0,1.0,3.0,2.0
147098,38,1,10,Masters ,5.0,2.0,0.0,4.0,4.0
147098,38,1,10,Masters ,5.0,3.0,1.0,4.0,4.0
147098,38,1,10,Masters ,4.0,1.0,3.0,4.0,3.0
147098,38,1,10,Masters ,4.0,1.0,1.0,4.0,3.0
147098,38,1,10,Masters ,3.0,3.0,2.0,4.0,4.0
147098,38,1,10,Masters ,3.0,3.0,1.0,5.0,5.0
147098,38,1,10,Masters ,4.0,1.0,1.0,3.0,3.0
69747,31,0,6,High School ,3.0,2.0,0.0,3.0,2.0
69747,31,0,6,High School ,3.0,2.0,1.0,3.0,2.0
69747,31,0,6,High School ,4.0,2.0,0.0,4.0,3.0
69747,31,0,6,High School ,3.0,2.0,2.0,3.0,2.0
69747,31,0,6,High School ,2.0,3.0,1.0,3.0,2.0
69747,31,0,6,High School ,5.0,3.0,2.0,5.0,5.0
69747,31,0,6,High School ,5.0,1.0,3.0,3.0,2.0
69747,31,0,6,High School ,4.0,2.0,1.0,5.0,4.0
69747,31,0,6,High School ,5.0,1.0,2.0,3.0,3.0
69747,31,0,6,High School ,3.0,2.0,1.0,5.0,4.0
102022,32,0,10,Masters ,3.0,2.0,1.0,3.0,3.0
102022,32,0,10,Masters ,4.0,3.0,1.0,5.0,5.0
102022,32,0,10,Masters ,3.0,3.0,0.0,3.0,2.0
102022,32,0,10,Masters ,4.0,3.0,0.0,5.0,4.0
102022,32,0,10,Masters ,3.0,3.0,2.0,3.0,2.0
102022,32,0,10,Masters ,1.0,2.0,1.0,5.0,5.0
102022,32,0,10,Masters ,4.0,1.0,1.0,4.0,4.0
102022,32,0,10,Masters ,4.0,1.0,1.0,5.0,5.0
102022,32,0,10,Masters ,5.0,2.0,1.0,3.0,3.0
272175,35,0,10,Masters ,3.0,1.0,2.0,5.0,5.0
272175,35,0,10,Masters ,3.0,1.0,0.0,3.0,3.0
272175,35,0,10,Masters ,3.0,1.0,2.0,4.0,4.0
272175,35,0,10,Masters ,3.0,1.0,3.0,5.0,5.0
272175,35,0,10,Masters ,4.0,1.0,2.0,5.0,4.0
272175,35,0,10,Masters ,4.0,2.0,1.0,3.0,3.0
272175,35,0,10,Masters ,3.0,1.0,0.0,4.0,4.0
272175,35,0,10,Masters ,4.0,2.0,1.0,3.0,2.0
340229,38,0,10,Bachelors ,4.0,3.0,1.0,5.0,4.0
340229,38,0,10,Bachelors ,5.0,3.0,0.0,3.0,3.0
340229,38,0,10,Bachelors ,5.0,2.0,0.0,5.0,4.0
340229,38,0,10,Bachelors ,3.0,3.0,2.0,5.0,4.0
340229,38,0,10,Bachelors ,3.0,3.0,0.0,3.0,3.0
340229,38,0,10,Bachelors ,3.0,3.0,2.0,4.0,4.0
340229,38,0,10,Bachelors ,3.0,2.0,2.0,4.0,3.0
340229,38,0,10,Bachelors ,5.0,2.0,2.0,3.0,2.0
48395,37,1,10,Bachelors ,4.0,1.0,2.0,5.0,4.0
48395,37,1,10,Bachelors ,4.0,3.0,3.0,5.0,4.0
48395,37,1,10,Bachelors ,5.0,2.0,0.0,3.0,3.0
48395,37,1,10,Bachelors ,3.0,3.0,0.0,5.0,5.0
48395,37,1,10,Bachelors ,5.0,3.0,1.0,4.0,4.0
48395,37,1,10,Bachelors ,3.0,2.0,0.0,4.0,4.0
48395,37,1,10,Bachelors ,4.0,2.0,0.0,3.0,2.0
48395,37,1,10,Bachelors ,5.0,2.0,1.0,3.0,3.0
97126,33,0,10,Masters ,3.0,3.0,0.0,5.0,4.0
97126,33,0,10,Masters ,3.0,1.0,2.0,4.0,3.0
97126,33,0,10,Masters ,4.0,3.0,2.0,5.0,5.0
97126,33,0,10,Masters ,3.0,2.0,2.0,5.0,4.0
97126,33,0,10,Masters ,3.0,1.0,3.0,4.0,4.0
97126,33,0,10,Masters ,5.0,2.0,1.0,4.0,3.0
97126,33,0,10,Masters ,4.0,1.0,0.0,4.0,4.0
97126,33,0,10,Masters ,3.0,3.0,3.0,3.0,2.0
316208,42,1,10,Bachelors ,3.0,1.0,2.0,5.0,4.0
316208,42,1,10,Bachelors ,3.0,3.0,1.0,3.0,3.0
316208,42,1,10,Bachelors ,4.0,3.0,3.0,4.0,4.0
316208,42,1,10,Bachelors ,4.0,2.0,0.0,4.0,4.0
316208,42,1,10,Bachelors ,5.0,2.0,2.0,3.0,3.0
316208,42,1,10,Bachelors ,5.0,1.0,1.0,3.0,3.0
316208,42,1,10,Bachelors ,3.0,2.0,1.0,5.0,4.0
316208,42,1,10,Bachelors ,4.0,1.0,1.0,5.0,4.0
128885,43,0,10,Bachelors ,5.0,1.0,1.0,4.0,3.0
128885,43,0,10,Bachelors ,4.0,1.0,0.0,4.0,3.0
128885,43,0,10,Bachelors ,3.0,1.0,2.0,3.0,3.0
128885,43,0,10,Bachelors ,4.0,1.0,3.0,3.0,3.0
128885,43,0,10,Bachelors ,4.0,2.0,0.0,3.0,2.0
128885,43,0,10,Bachelors ,3.0,3.0,1.0,5.0,5.0
128885,43,0,10,Bachelors ,5.0,1.0,1.0,5.0,4.0
128885,43,0,10,Bachelors ,5.0,2.0,1.0,5.0,4.0
108315,43,2,10,Masters ,4.0,2.0,0.0,4.0,4.0
108315,43,2,10,Masters ,4.0,2.0,1.0,5.0,4.0
108315,43,2,10,Masters ,4.0,1.0,0.0,3.0,3.0
108315,43,2,10,Masters ,3.0,2.0,2.0,4.0,3.0
108315,43,2,10,Masters ,5.0,1.0,0.0,3.0,3.0
108315,43,2,10,Masters ,4.0,2.0,1.0,4.0,4.0
108315,43,2,10,Masters ,5.0,2.0,3.0,4.0,4.0
108315,43,2,10,Masters ,5.0,3.0,2.0,5.0,4.0
136521,45,1,10,1,4.0,3.0,3.0,3.0,3.0
136521,45,1,10,1,5.0,1.0,0.0,4.0,4.0
136521,45,1,10,1,4.0,1.0,2.0,3.0,3.0
136521,45,1,10,1,4.0,1.0,1.0,3.0,3.0
136521,45,1,10,1,5.0,1.0,3.0,5.0,5.0
136521,45,1,10,1,4.0,3.0,3.0,5.0,5.0
136521,45,1,10,1,4.0,1.0,2.0,5.0,4.0
136521,45,1,10,1,5.0,2.0,0.0,4.0,4.0
151141,38,0,10,1,5.0,3.0,1.0,4.0,3.0
151141,38,0,10,1,5.0,3.0,0.0,4.0,3.0
151141,38,0,10,1,4.0,2.0,3.0,4.0,3.0
151141,38,0,10,1,3.0,3.0,3.0,4.0,3.0
151141,38,0,10,1,5.0,3.0,1.0,3.0,2.0
151141,38,0,10,1,5.0,3.0,2.0,5.0,5.0
151141,38,0,10,1,3.0,1.0,0.0,4.0,4.0
151141,38,0,10,1,3.0,2.0,0.0,5.0,4.0
107863,39,1,8,High School ,5.0,1.0,3.0,5.0,4.0
107863,39,1,8,High School ,4.0,1.0,1.0,4.0,3.0
107863,39,1,8,High School ,5.0,1.0,0.0,3.0,2.0
107863,39,1,8,High School ,3.0,1.0,1.0,4.0,3.0
107863,39,1,8,High School ,3.0,1.0,0.0,4.0,4.0
107863,39,1,8,High School ,5.0,3.0,0.0,5.0,5.0
107863,39,1,8,High School ,5.0,2.0,1.0,3.0,2.0
107863,39,1,8,High School ,5.0,3.0,1.0,3.0,2.0
107863,39,1,8,High School ,3.0,1.0,1.0,4.0,4.0
107863,39,1,8,High School ,4.0,2.0,0.0,5.0,5.0
53616,33,1,10,1,4.0,3.0,0.0,3.0,3.0
53616,33,1,10,1,5.0,1.0,3.0,5.0,4.0
53616,33,1,10,1,3.0,3.0,0.0,4.0,3.0
53616,33,1,10,1,5.0,1.0,2.0,4.0,4.0
53616,33,1,10,1,4.0,3.0,1.0,5.0,4.0
53616,33,1,10,1,1.0,3.0,1.0,5.0,4.0
53616,33,1,10,1,3.0,2.0,0.0,5.0,5.0
53616,33,1,10,1,5.0,1.0,1.0,5.0,5.0
